Id,SalePrice
1461,126731.5
1462,151701.5
1463,183910.52
1464,184586.82
1465,196752.0
1466,184845.85
1467,168057.84
1468,177207.78
1469,179132.4
1470,127182.6
1471,197145.77
1472,95343.5
1473,100042.33
1474,152817.5
1475,143099.66
1476,372905.93
1477,253846.14
1478,300915.36
1479,247016.18
1480,505902.9
1481,290473.38
1482,210266.4
1483,179110.59
1484,169359.39
1485,171005.46
1486,186433.84
1487,303798.89
1488,241184.49
1489,210711.22
1490,198931.9
1491,189661.86
1492,96734.0
1493,187541.91
1494,297915.39
1495,294452.25
1496,225570.72
1497,190369.43
1498,156261.13
1499,153614.67
1500,156043.19
1501,172098.18
1502,160506.44
1503,270047.64
1504,234001.78
1505,215366.41
1506,183267.22
1507,216382.46
1508,201427.26
1509,159551.0
1510,150854.87
1511,152420.37
1512,174036.2
1513,155161.24
1514,160677.24
1515,172579.22
1516,163280.39
1517,154495.4
1518,133146.88
1519,230866.02
1520,139004.5
1521,145579.0
1522,162351.9
1523,113653.1
1524,124234.34
1525,119812.3
1526,127799.8
1527,110708.36
1528,126535.5
1529,143176.0
1530,171150.82
1531,129443.35
1532,105961.0
1533,149599.75
1534,115998.39
1535,160748.98
1536,117411.18
1537,80644.97
1538,196868.5
1539,235446.8
1540,113903.21
1541,147420.66
1542,146155.91
1543,210341.86
1544,82277.45
1545,108354.0
1546,118214.26
1547,140452.32
1548,136927.0
1549,113216.0
1550,135280.82
1551,119417.55
1552,151910.86
1553,153478.71
1554,112814.49
1555,171038.9
1556,98966.54
1557,125203.0
1558,91461.08
1559,120050.72
1560,144835.1
1561,156045.0
1562,126501.49
1563,126190.0
1564,164523.38
1565,150939.98
1566,229449.48
1567,80922.4
1568,227528.2
1569,143617.62
1570,126921.75
1571,134275.6
1572,145636.75
1573,246449.62
1574,121409.8
1575,218380.89
1576,217784.5
1577,204519.36
1578,156773.05
1579,142097.1
1580,190292.4
1581,146121.5
1582,127740.5
1583,332335.94
1584,233175.75
1585,139700.0
1586,75400.15
1587,105453.5
1588,153133.75
1589,105094.64
1590,132527.87
1591,102832.13
1592,125246.86
1593,123177.34
1594,139819.77
1595,122458.95
1596,225803.34
1597,163852.5
1598,181627.3
1599,208344.26
1600,196778.4
1601,76665.33
1602,115677.0
1603,95992.03
1604,283412.28
1605,255642.84
1606,167106.82
1607,169836.6
1608,216084.43
1609,194842.69
1610,162126.86
1611,149387.37
1612,164715.01
1613,167215.97
1614,118014.82
1615,90712.04
1616,82740.0
1617,89257.0
1618,128079.1
1619,139611.0
1620,152967.14
1621,139885.47
1622,151671.58
1623,293671.87
1624,210512.0
1625,129758.58
1626,172291.9
1627,186338.0
1628,280450.43
1629,174588.45
1630,357805.74
1631,221117.82
1632,246313.07
1633,169482.52
1634,181268.83
1635,181305.4
1636,159591.24
1637,172383.0
1638,219234.4
1639,179199.5
1640,244416.43
1641,176923.83
1642,224689.98
1643,230487.7
1644,230798.0
1645,182039.0
1646,154075.87
1647,166987.5
1648,145678.74
1649,143387.45
1650,125183.0
1651,123044.34
1652,94816.5
1653,97496.0
1654,154679.5
1655,157161.17
1656,148400.04
1657,152445.51
1658,155234.33
1659,151030.9
1660,145663.93
1661,416146.99
1662,377880.33
1663,375371.39
1664,444794.24
1665,326678.35
1666,336011.31
1667,341782.31
1668,332655.31
1669,308521.85
1670,336775.16
1671,259400.73
1672,448628.89
1673,301962.3
1674,256839.13
1675,184189.79
1676,186355.5
1677,208946.95
1678,469188.04
1679,378270.57
1680,333314.27
1681,276627.21
1682,306772.14
1683,188555.3
1684,171140.54
1685,173159.0
1686,167781.7
1687,168186.86
1688,183652.24
1689,187243.74
1690,185029.99
1691,175952.24
1692,264422.52
1693,171452.98
1694,184840.38
1695,169928.17
1696,261049.18
1697,171852.65
1698,339567.69
1699,318070.37
1700,237240.16
1701,258887.24
1702,257739.86
1703,254776.23
1704,295916.31
1705,222424.45
1706,396609.7
1707,221622.81
1708,219089.76
1709,306587.1
1710,226119.93
1711,266043.06
1712,233358.52
1713,246329.75
1714,227303.42
1715,204348.15
1716,187609.1
1717,168539.3
1718,133685.7
1719,200659.7
1720,242154.94
1721,174428.2
1722,123763.37
1723,153795.85
1724,213637.95
1725,227390.24
1726,185252.73
1727,170915.88
1728,188124.85
1729,162492.81
1730,161565.56
1731,130204.58
1732,131500.93
1733,126266.83
1734,131712.5
1735,133167.93
1736,121826.83
1737,367165.93
1738,212634.23
1739,268620.51
1740,191292.57
1741,184484.97
1742,171285.73
1743,165816.23
1744,306428.69
1745,237318.25
1746,264706.43
1747,221569.34
1748,201852.13
1749,163150.15
1750,146920.1
1751,232436.3
1752,122874.0
1753,142752.91
1754,227584.22
1755,168827.02
1756,123777.07
1757,119610.18
1758,148105.5
1759,170076.32
1760,161802.14
1761,152135.24
1762,171624.15
1763,165804.0
1764,119625.66
1765,169852.5
1766,176075.5
1767,206062.05
1768,141893.75
1769,172431.11
1770,138673.6
1771,139078.55
1772,140825.57
1773,142746.35
1774,132626.08
1775,133074.5
1776,120661.51
1777,117841.51
1778,132791.0
1779,116152.5
1780,179047.4
1781,129425.25
1782,98983.99
1783,131881.87
1784,99109.0
1785,115181.86
1786,147461.36
1787,168052.75
1788,60066.3
1789,98066.45
1790,90332.32
1791,167907.43
1792,152420.0
1793,140195.75
1794,140533.5
1795,138951.0
1796,124130.25
1797,113002.44
1798,127501.35
1799,113576.57
1800,119697.0
1801,131639.75
1802,151973.82
1803,143589.1
1804,141730.9
1805,135028.0
1806,109555.95
1807,146702.58
1808,117504.25
